100000000000000000000000000000000000000000022
Cretet	20	4000.00	6000.00	0		
Jaubert	30	5000.00	70000.00	220	9000.00	11000.00
Laffitte	40	2000.00	2500.00	9900	1000.00	50000.00
Gaudin	50	1000.00	1000.00	0		
Maurice	60	1000.00	800.00	9970	1000.00	500.00
D'Argout	70	6000.00	4000.00	0		
Davillier	80	200.00	50.00	9950	1000.00	9000.00
Lebegue	290	800.00	500.00	260	1400.00	700.00
Vuitry	100	500.00	2000.00	9920	1000.00	500.00
Rouland	110	200.00	700.00	9930	7000.00	5000.00
Magnin	220	1000.00	800.00	9960	1000.00	500.00
Pallain	130	2000.00	2500.00	230	1000.00	50000.00
Robineau	140	6000.00	4000.00	0		
Moreau	150	200.00	50.00	9950	1000.00	9000.00
Moret	160	500.00	3000.00	9910	200.00	70000.00
Tannery	170	6000.00	4000.00	0		
Labeyrie	180	200.00	700.00	250	7000.00	5000.00
Fournier	190	2000.00	2000.00	0		
DeBoisanger	200	4000.00	6000.00	0		
Monick	210	2000.00	1500.00	9940	500.00	1400.00
Baumgartner	220	4000.00	6000.00	0		
Brunet	230	500.00	2000.00	9920	1000.00	500.00
Wormser	240	800.00	500.00	9970	1400.00	700.00
Clappier	250	6050.00	6000.00	0		
LaGeniere	260	2000.00	2500.00	9900	1000.00	50000.00
Camdessus	270	200.00	50.00	9950	1000.00	9000.00
Larosiere	280	6000.00	4000.00	0		
Trichet	290	2000.00	2500.00	240	1000.00	50000.00
Noyer	300	4000.00	6000.00	0		
